"xh"	"sgdm"	"zqdm"	"name"	"wsfxr"	"ssr"	"fxl"	"wsfxl"	"sgsx"	"fxj"	"syl"	"zql"
"122"	"787005"	"688005"	"容百科技"	"2019-07-10"	"2019-07-22"	"4,500"	"1,287"	"0.85"	"26.62"	"58.21"	"--"
"37"	"787138"	"688138"	"清溢光电"	"2019-11-11"	"2019-11-20"	"6,680"	"2,538"	"1.90"	"8.78"	"42"	"--"
"168"	"300769"	"300769"	"德方纳米"	"2019-04-03"	"2019-04-15"	"1,069"	"1,069"	"1.00"	"41.78"	"21.46"	"--"
"79"	"787030"	"688030"	"山石网科"	"2019-09-18"	"2019-09-30"	"4,506"	"1,535"	"1.10"	"21.06"	"55.07"	"--"
"123"	"787019"	"688019"	"安集科技"	"2019-07-10"	"2019-07-22"	"1,328"	"488"	"0.35"	"39.19"	"48.25"	"--"
"38"	"787111"	"688111"	"金山办公"	"2019-11-07"	"2019-11-18"	"10,100"	"2,121"	"1.40"	"45.86"	"78.37"	"--"
"169"	"300768"	"300768"	"迪普科技"	"2019-04-02"	"2019-04-12"	"4,001"	"3,601"	"1.20"	"11.23"	"22.98"	"--"
"80"	"787116"	"688116"	"天奈科技"	"2019-09-16"	"2019-09-25"	"5,796"	"2,207"	"1.65"	"16.00"	"57.07"	"--"
"124"	"787018"	"688018"	"乐鑫科技"	"2019-07-10"	"2019-07-22"	"2,000"	"694"	"0.50"	"62.60"	"56.67"	"--"
"39"	"787101"	"688101"	"三达膜"	"2019-11-06"	"2019-11-15"	"8,347"	"3,206"	"2.40"	"18.26"	"34.96"	"--"
"170"	"732068"	"603068"	"博通集成"	"2019-04-02"	"2019-04-15"	"3,468"	"3,121"	"1.30"	"18.63"	"22.98"	"--"
"81"	"300791"	"300791"	"仙乐健康"	"2019-09-12"	"2019-09-25"	"2,000"	"2,000"	"2.00"	"54.73"	"22.98"	"--"
"125"	"787333"	"688333"	"铂力特"	"2019-07-10"	"2019-07-22"	"2,000"	"570"	"0.35"	"33.00"	"68.4"	"--"
"40"	"300803"	"300803"	"指南针"	"2019-11-06"	"2019-11-18"	"5,690"	"5,121"	"1.70"	"6.25"	"22.98"	"--"
"171"	"732379"	"603379"	"三美股份"	"2019-03-21"	"2019-04-02"	"5,973"	"5,376"	"1.70"	"32.43"	"13.06"	"--"
"82"	"300790"	"300790"	"宇瞳光学"	"2019-09-10"	"2019-09-20"	"2,858"	"2,572"	"1.10"	"18.16"	"22.98"	"--"
"126"	"787010"	"688010"	"福光股份"	"2019-07-10"	"2019-07-22"	"3,880"	"1,468"	"1.05"	"25.22"	"49.39"	"--"
"41"	"300796"	"300796"	"贝斯美"	"2019-11-05"	"2019-11-15"	"3,030"	"2,727"	"1.20"	"14.25"	"22.98"	"--"
"172"	"002952"	"002952"	"亚世光电"	"2019-03-18"	"2019-03-28"	"1,826"	"1,372"	"0.65"	"31.14"	"22.98"	"--"
"83"	"002962"	"002962"	"五方光电"	"2019-09-05"	"2019-09-17"	"5,040"	"4,536"	"2.00"	"14.39"	"22.98"	"--"
"127"	"787012"	"688012"	"中微公司"	"2019-07-10"	"2019-07-22"	"5,349"	"1,530"	"1.00"	"29.01"	"148.78"	"--"
"42"	"300802"	"300802"	"矩子科技"	"2019-11-05"	"2019-11-14"	"2,500"	"2,250"	"1.00"	"22.04"	"22.98"	"--"
"173"	"300767"	"300767"	"震安科技"	"2019-03-14"	"2019-03-29"	"2,000"	"2,000"	"2.00"	"19.19"	"13.94"	"--"
"84"	"732927"	"603927"	"中科软"	"2019-08-28"	"2019-09-09"	"4,240"	"3,816"	"1.20"	"16.18"	"21.53"	"--"
"128"	"732256"	"603256"	"宏和科技"	"2019-07-09"	"2019-07-19"	"8,780"	"7,902"	"2.60"	"4.43"	"22.96"	"--"
"43"	"787300"	"688300"	"联瑞新材"	"2019-11-05"	"2019-11-15"	"2,149"	"817"	"0.60"	"27.28"	"41.7"	"--"
"174"	"732681"	"603681"	"永冠新材"	"2019-03-14"	"2019-03-26"	"4,165"	"3,748"	"1.60"	"10.00"	"22.98"	"--"
"85"	"787168"	"688168"	"安博通"	"2019-08-28"	"2019-09-06"	"1,280"	"486"	"0.35"	"56.88"	"48.52"	"--"
"129"	"787008"	"688008"	"澜起科技"	"2019-07-08"	"2019-07-22"	"11,298"	"2,373"	"1.55"	"24.80"	"40.11"	"--"
"44"	"002967"	"002967"	"广电计量"	"2019-10-30"	"2019-11-08"	"8,267"	"7,440"	"3.30"	"7.43"	"22.98"	"--"
"175"	"300765"	"300765"	"新诺威"	"2019-03-13"	"2019-03-22"	"5,000"	"4,500"	"2.00"	"24.47"	"22.98"	"--"
"86"	"002961"	"002961"	"瑞达期货"	"2019-08-27"	"2019-09-05"	"4,500"	"4,050"	"1.35"	"5.57"	"22.98"	"--"
"130"	"732236"	"603236"	"移远通信"	"2019-07-04"	"2019-07-16"	"2,230"	"2,007"	"0.80"	"43.93"	"22.98"	"--"
"45"	"732489"	"603489"	"八方股份"	"2019-10-30"	"2019-11-11"	"3,000"	"2,700"	"1.20"	"43.44"	"22.98"	"--"
"176"	"002958"	"002958"	"青农商行"	"2019-03-13"	"2019-03-26"	"55,556"	"50,000"	"16.65"	"3.96"	"10.74"	"--"
"87"	"732093"	"603093"	"南华期货"	"2019-08-21"	"2019-08-30"	"7,000"	"6,300"	"2.10"	"4.84"	"22.98"	"--"
"131"	"300783"	"300783"	"三只松鼠"	"2019-07-03"	"2019-07-12"	"4,100"	"3,690"	"1.20"	"14.68"	"22.98"	"--"
"46"	"300564"	"300564"	"筑博设计"	"2019-10-30"	"2019-11-08"	"2,500"	"2,250"	"1.00"	"22.69"	"22.98"	"--"
"177"	"300766"	"300766"	"每日互动"	"2019-03-12"	"2019-03-25"	"4,010"	"3,609"	"1.20"	"13.08"	"22.98"	"--"
"88"	"732755"	"603755"	"日辰股份"	"2019-08-15"	"2019-08-28"	"2,466"	"2,219"	"0.90"	"15.70"	"22.98"	"--"
"132"	"787006"	"688006"	"杭可科技"	"2019-07-03"	"2019-07-22"	"4,100"	"1,173"	"0.75"	"27.43"	"39.79"	"--"
"47"	"787389"	"688389"	"普门科技"	"2019-10-25"	"2019-11-05"	"4,300"	"1,097"	"0.70"	"9.10"	"74.65"	"--"
"178"	"300763"	"300763"	"锦浪科技"	"2019-03-08"	"2019-03-19"	"2,000"	"2,000"	"2.00"	"26.64"	"19.68"	"--"
"89"	"300789"	"300789"	"唐源电气"	"2019-08-14"	"2019-08-28"	"1,150"	"1,150"	"1.15"	"35.58"	"21.35"	"--"
"133"	"300785"	"300785"	"值得买"	"2019-07-03"	"2019-07-15"	"1,333"	"1,333"	"1.30"	"28.42"	"17.44"	"--"
"48"	"787128"	"688128"	"中国电研"	"2019-10-25"	"2019-11-05"	"5,000"	"1,429"	"0.95"	"18.79"	"42.92"	"--"
"179"	"002951"	"002951"	"金时科技"	"2019-03-06"	"2019-03-15"	"4,500"	"4,050"	"1.35"	"9.94"	"22.98"	"--"
"90"	"732992"	"603992"	"松霖科技"	"2019-08-14"	"2019-08-26"	"4,100"	"3,690"	"1.20"	"13.54"	"22.98"	"--"
"134"	"787003"	"688003"	"天准科技"	"2019-07-02"	"2019-07-22"	"4,840"	"1,844"	"1.35"	"25.50"	"57.47"	"--"
"49"	"787023"	"688023"	"安恒信息"	"2019-10-25"	"2019-11-05"	"1,852"	"634"	"0.45"	"56.50"	"72.37"	"--"
"180"	"300762"	"300762"	"上海瀚讯"	"2019-03-05"	"2019-03-14"	"3,336"	"3,002"	"1.30"	"16.28"	"22.98"	"--"
"91"	"002959"	"002959"	"小熊电器"	"2019-08-14"	"2019-08-23"	"3,000"	"2,700"	"1.20"	"34.25"	"22.98"	"--"
"135"	"787002"	"688002"	"睿创微纳"	"2019-07-02"	"2019-07-22"	"6,000"	"1,626"	"1.05"	"20.00"	"79.09"	"--"
"50"	"787288"	"688288"	"鸿泉物联"	"2019-10-25"	"2019-11-06"	"2,500"	"850"	"0.60"	"24.99"	"46.25"	"--"
"181"	"002950"	"002950"	"奥美医疗"	"2019-02-27"	"2019-03-11"	"4,800"	"4,320"	"1.40"	"11.03"	"22.03"	"--"
"92"	"003816"	"003816"	"中国广核"	"2019-08-12"	"2019-08-26"	"504,986"	"184,252"	"75.70"	"2.49"	"14.6"	"--"
"136"	"787001"	"688001"	"华兴源创"	"2019-06-27"	"2019-07-22"	"4,010"	"1,146"	"0.75"	"24.26"	"41.07"	"--"
"182"	"730928"	"600928"	"西安银行"	"2019-02-19"	"2019-03-01"	"44,444"	"40,000"	"13.30"	"4.68"	"10.27"	"--"
"93"	"300787"	"300787"	"海能实业"	"2019-08-06"	"2019-08-15"	"2,122"	"1,910"	"0.80"	"27.33"	"22.98"	"--"
"137"	"300788"	"300788"	"中信出版"	"2019-06-25"	"2019-07-05"	"4,754"	"4,278"	"1.90"	"14.85"	"15.15"	"--"
"183"	"300758"	"300758"	"七彩化学"	"2019-02-13"	"2019-02-22"	"2,668"	"2,401"	"1.05"	"22.09"	"22.98"	"--"
"94"	"787321"	"688321"	"微芯生物"	"2019-07-31"	"2019-08-12"	"5,000"	"1,280"	"0.85"	"20.43"	"467.5"	"--"
"138"	"780236"	"601236"	"红塔证券"	"2019-06-24"	"2019-07-05"	"36,400"	"32,760"	"10.90"	"3.46"	"35.56"	"--"
"184"	"002949"	"002949"	"华阳国际"	"2019-02-13"	"2019-02-26"	"4,903"	"4,413"	"1.95"	"10.51"	"22.98"	"--"
"95"	"732115"	"603115"	"海星股份"	"2019-07-31"	"2019-08-09"	"5,200"	"4,680"	"2.00"	"10.18"	"15.44"	"--"
"139"	"780698"	"601698"	"中国卫通"	"2019-06-18"	"2019-06-28"	"40,000"	"36,000"	"12.00"	"2.72"	"26.01"	"--"
"185"	"732956"	"603956"	"威派格"	"2019-02-12"	"2019-02-22"	"4,260"	"3,834"	"1.20"	"5.70"	"22.96"	"--"
"96"	"002960"	"002960"	"青鸟消防"	"2019-07-30"	"2019-08-09"	"6,000"	"5,400"	"2.40"	"17.34"	"12.25"	"--"
"140"	"732867"	"603867"	"新化股份"	"2019-06-17"	"2019-06-27"	"3,500"	"3,150"	"1.40"	"16.29"	"14.18"	"--"
"186"	"300761"	"300761"	"立华股份"	"2019-01-30"	"2019-02-18"	"4,128"	"3,715"	"1.20"	"29.35"	"16.05"	"--"
"97"	"787099"	"688099"	"晶晨股份"	"2019-07-29"	"2019-08-08"	"4,112"	"1,185"	"0.75"	"38.50"	"58.42"	"--"
"141"	"730968"	"600968"	"海油发展"	"2019-06-14"	"2019-06-26"	"186,510"	"167,859"	"55.90"	"2.04"	"22.93"	"--"
"187"	"780865"	"601865"	"福莱特"	"2019-01-29"	"2019-02-15"	"15,000"	"13,500"	"4.50"	"2.00"	"9.56"	"--"
"98"	"787188"	"688188"	"柏楚电子"	"2019-07-29"	"2019-08-08"	"2,500"	"954"	"0.70"	"68.58"	"50.18"	"--"
"142"	"300594"	"300594"	"朗进科技"	"2019-06-12"	"2019-06-21"	"2,223"	"2,000"	"0.85"	"19.02"	"22.98"	"--"
"188"	"002947"	"002947"	"恒铭达"	"2019-01-23"	"2019-02-01"	"3,038"	"2,734"	"1.20"	"18.72"	"22.98"	"--"
"99"	"732662"	"603662"	"柯力传感"	"2019-07-25"	"2019-08-06"	"2,985"	"2,687"	"1.10"	"19.83"	"22.98"	"--"
"143"	"732217"	"603217"	"元利科技"	"2019-06-11"	"2019-06-20"	"2,276"	"2,048"	"0.90"	"54.96"	"20.71"	"--"
"189"	"300755"	"300755"	"华致酒行"	"2019-01-17"	"2019-01-29"	"5,789"	"5,210"	"2.30"	"16.79"	"22.98"	"--"
"100"	"732530"	"603530"	"神马电力"	"2019-07-24"	"2019-08-05"	"4,004"	"3,604"	"1.20"	"5.94"	"22.98"	"--"
"144"	"732863"	"603863"	"松炀资源"	"2019-06-11"	"2019-06-21"	"5,147"	"4,633"	"2.00"	"9.95"	"22.69"	"--"
"190"	"002946"	"002946"	"新乳业"	"2019-01-16"	"2019-01-25"	"8,537"	"7,683"	"2.55"	"5.45"	"22.96"	"--"
"145"	"002956"	"002956"	"西麦食品"	"2019-06-05"	"2019-06-19"	"2,000"	"2,000"	"2.00"	"36.66"	"22.98"	"--"
"191"	"732351"	"603351"	"威尔药业"	"2019-01-16"	"2019-01-30"	"1,667"	"1,667"	"1.60"	"35.50"	"22.98"	"--"
"146"	"300782"	"300782"	"卓胜微"	"2019-06-04"	"2019-06-18"	"2,500"	"2,250"	"1.00"	"35.29"	"22.98"	"--"
"192"	"300759"	"300759"	"康龙化成"	"2019-01-15"	"2019-01-28"	"6,563"	"5,907"	"1.95"	"7.66"	"22.98"	"--"
"147"	"732915"	"603915"	"国茂股份"	"2019-06-04"	"2019-06-14"	"8,438"	"7,594"	"2.50"	"10.35"	"22.98"	"--"
